title,company,location,country,seniority,workplace_type,nb_employees,compatibility,verdict,tier,posted_days_ago,reason,pros,cons,url
Creative Developer/ Design engineer,NOWATCH,"Amsterdam, Noord-Holland, Netherlands",NL,Mid Level,Hybrid,48,95,strong,1,3,"Match parfait entre le profil hybride rare du candidat (Product Engineer code+design) et le rôle de Creative Developer/Design Engineer, avec une stack technique identique (Next.js, TS, Figma, AI tools) et un fort alignement sur l'ownership produit en startup.","Stack technique quasi-identique : Next.js, TypeScript, React, Figma, Claude Code/Cursor. · Double compétence rare validée : ingénierie produit + design d'interface (ENSCI + DSAA). · Expérience directe en e-commerce headless et Shopify (via son startup standard+). · Compétences 3D/WebGL (Three.js) pertinentes pour la storytelling de produits wearables. · Culture startup/ownership alignée avec l'annonce 'wear multiple hats' et 'startup'. · Expérience en IA appliquée au produit (embeddings, recommandation) très valorisable.","L'entreprise est en Série A (levée 2022), donc moins 'early stage' que le cœur de cible idéal du candidat. · Le poste est basé à Amsterdam (hybrid), ce qui implique un déménagement ou une mobilité internationale.",https://nowatch.recruitee.com/o/creative-developer-design-engineer
Full-Stack Developer,SkyGeo,"Delft, Zuid-Holland, Netherlands",NL,Mid Level,Hybrid,40,75,possible,1,1,"Le profil hybride du candidat correspond parfaitement à la double exigence technique et produit du poste, mais le pivot vers Python/Django représente un écart de stack significatif par rapport à son expertise native TypeScript/Next.js.","Double compétence rare Engineering + Design/Product alignée sur le besoin d'application 'user-centric'. · Expérience directe en infrastructure (AWS, Docker, CI/CD) et gestion produit end-to-end. · Capacité à travailler en autonomie ('individual contributor') dans une structure agile. · Stack frontend (React/TS) parfaitement compatible.","Écart majeur sur le backend : l'offre exige Python/Django/FastAPI, alors que le candidat est expert Node/Express. · Stade de maturité de l'entreprise (Série A+/40 employés) moins idéal qu'une startup seed pour un profil 'founding' pur. · Domaine métier (Géotechnique/InSAR) très spécifique et hors du cœur de cible créative/3D du candidat.",https://skygeo.recruitee.com/o/scientific-software-developer-2-3
Product and Brand Designer,Alohi SA,"Geneva, Geneva, Switzerland",CH,Mid Level,Onsite,30,65,possible,2,1,"Le profil hybride du candidat (code + design) est un atout majeur pour la collaboration avec les développeurs, mais le poste est purement design/brand sans exigence de codage, ce qui sous-exploite son cœur de métier technique et risque de le voir comme 'surqualifié' ou hors piste par rapport à leur stack.","Stack design solide (Figma, Adobe) correspondant aux exigences · Expérience en startup lean avec forte autonomie (ownership) · Capacité à collaborer efficacement avec les équipes techniques (compréhension du code HTML/CSS)","Poste purement design/brand, sans dimension engineering ou prototyping technique · Stack technique de l'offre limitée (HTML/CSS) ne valorisant pas ses compétences avancées (TS, React, AI) · Risque de déséquilibre : le candidat cherche un rôle 'Product Engineer', ce poste est un 'Designer'",https://jobs.ashbyhq.com/alohi/714a0a0a-cf6d-472a-b7f6-cce3e865b2b6
Product Manager (H/F),PYSAE,"Rennes, Bretagne, France",FR,Entry Level,Hybrid,35,65,possible,2,1,"Le poste est un bon match B2B/SaaS avec usage d'IA, mais il s'agit d'un rôle de Product Manager (stratégie/discovery) qui ne valorise pas le cœur de cible du candidat : l'ingénierie produit et le croisement code/design.","Secteur SaaS B2B avec intégration IA (Claude), aligné avec son expertise AI workflow. · Stade startup (35 collab.) permettant une autonomie proche de l'ownership. · Expérience terrain et discovery du candidat pertinente pour ce type de produit.","Rôle purement Product Manager : absence de composante technique (code) ou design hands-on, loin de son profil hybride 'Product Engineer'. · Stack technique non mentionnée dans l'offre, risque de déconnexion avec ses compétences React/TS. · Localisation Rennes vs Paris du candidat (bien que hybrid, le déplacement est un frein).",https://pysae.recruitee.com/o/product-manager-hf
Product Designer - F/H - Paris – CDI,Groupe Spartes,"Paris, Ile de France, France",FR,Mid Level,Hybrid,150,65,possible,2,3,"Le poste offre une excellente intersection Design/Engineering avec du hands-on et de l'ownership, mais le contexte corporate (150 employés, PE) et la séniorité demandée (3+ ans) créent un décalage avec le profil founding/engineering pur du candidat.",Poste hybride Design/Engineering avec livraison technique réelle · Ownership end-to-end de la solution · Utilisation d'IA dans les processus produit,Structure trop grande et mature pour un profil 'founding' · Séniorité demandée (3+ ans) supérieure au niveau réel du candidat (~2 ans) · Contexte Private Equity peu aligné avec la culture startup/0-to-1,https://spartes.teamtailor.com/jobs/7874072-product-designer-f-h-paris-cdi
"Cloud front-end engineer (Wilrijk; Antwerp, Other/Not Applicable, Belgium)",Atlas Copco Group,"Wilrijk, Antwerp, Belgium",BE,Mid Level,Hybrid,56000,58,possible,2,3,"Le poste offre un croisement rare entre l'ingénierie cloud/IoT et le design d'interface pour des données industrielles complexes, mais la taille de l'entreprise (grand groupe) et le lieu hybride réduisent l'attrait par rapport aux startups où le candidat excelle.","Croisement technique pertinent : transformation de données IoT/ingénierie en interfaces frontend élégantes correspond à sa capacité à gérer des infrastructures complexes avec une UX minimaliste. · Stack transposable : React, TypeScript et HTML5 sont au cœur de son expertise produit actuelle (Next.js/TS). · Responsabilité end-to-end : la description mentionne le cycle complet du prototype à la livraison, offrant un niveau d'ownership acceptable malgré la structure corporative.","Environnement non adapté : grand groupe industriel (56k employés) vs son profil hybride agile/startup qui privilégie l'autonomie et la vitesse de décision. · Absence de signal 'founding' ou '0-to-1' : le poste est un contributeur individuel dans une structure mature, loin de l'esprit entrepreneurial du candidat. · Contrainte géographique : Wilrijk (Belgique) en hybride alors que le candidat réside à Paris et vise le remote/EU flexible.",https://www.careers.homeofindustrialideas.com/job/Wilrijk-Antwerp-Cloud-front-end-engineer-Othe/1401675133/
Associate Product Manager,Peripass,"Gent, Vlaams Gewest, Belgium",BE,Entry Level,Hybrid,75,58,possible,2,1,"Le poste est un rôle purement managérial/stratégique (Product Management) sans exigence de code ni de design technique, ce qui ne valorise pas le cœur de cible hybride du candidat (Product Engineer), bien que le secteur B2B SaaS soit pertinent.","Secteur SaaS B2B en croissance (Series A) avec un vrai produit digital · Mentionne la collaboration étroite avec l'Engineering et le Design, permettant de rester proche du technique · Stack et contexte tech modernes (SaaS, automatisation logistique)","Rôle non-handson : aucune exigence de codage ou de design visuel, perte du double avantage 'ownership' et 'crossing' · Le candidat est un ingénieur produit qui code ; ce poste risque de le faire dériver vers du pur management/stratégie · Exigence de néerlandais professionnel (souvent difficile à acquérir rapidement pour un expat) · Structure plus grande (75 employés) que l'environnement startup 0-to-1 où le candidat excelle",https://peripass.recruitee.com/o/associate-product-manager
"Product Designer (m/f/d) (Amsterdam, NL, 1096 HA)",flatexDEGIRO SE,"Amsterdam, North Holland, Netherlands",NL,Mid Level,Hybrid,1250,58,possible,2,13,"Le poste est un Design pur (UX/UI) dans une grande structure corporate, ce qui manque cruellement d'ownership et de code, mais la stack design (Figma/Prototyping) et le secteur fintech correspondent partiellement.",Compétences Figma et prototypage directement transférables · Secteur FinTech/Brokerage pertinent pour son background DDB et ses études en entrepreneuriat · Profil hybride capable de comprendre les contraintes techniques des développeurs,"Absence totale de code (React/TS) dans le poste, alors que c'est le cœur de valeur du candidat · Environnement corporate très grand (1250+ employés) sans esprit founding/ownership · Rôle purement design sans intersection engineering, contrairement à sa cible 'Product Engineer'",https://jobs.flatexdegiro.com/job/Amsterdam-Product-Designer-%28mfd%29-1096-HA/1398614233/
GTM & Creative Growth Intern,Builders,"Amsterdam, North Holland, Netherlands",NL,Entry Level,Onsite,30,58,possible,2,3,"Le poste offre un excellent ownership et une stack technique (automation/AI) transposable, mais il s'agit d'un rôle purement GTM/Marketing sans développement ni design produit, ce qui ne valorise pas le cœur de métier hybride du candidat.","Ownership total des canaux et autonomie forte dès le jour 1 · Utilisation d'outils techniques (n8n, Clay, AI) compatibles avec sa logique d'automatisation · Stade seed/early stage avec petite équipe, favorisant l'impact individuel","Absence totale de développement logiciel ou de design produit dans les missions · Rôle orienté marketing/sales ops, hors du cœur de cible 'Product Engineer' · Stack technique limitée à des outils no-code/low-code, sans valeur ajoutée sur son expertise code/design",https://builders.recruitee.com/o/gtm-creative-growth-intern
Creative Developer,WPP Media,"Eindhoven, North Brabant, Netherlands",NL,Mid Level,Hybrid,40000,58,possible,2,15,Le poste touche au croisement code/design (Creative Developer) mais l'environnement corporate massif et la stack legacy (jQuery/GSAP) sont très éloignés du profil startup/IA/3D moderne du candidat.,Titre 'Creative Developer' correspondant à l'intersection Design/Code · Activité créative et animation alignée avec les compétences Figma/Cinema4D · Stack front-end (JS/HTML/CSS) techniquement transposable,"Environnement corporate massif (40k employés) vs culture startup/ownership du candidat · Stack technique obsolète (jQuery/GSAP) sans lien avec Next.js/AI/3D · Absence totale de dimension produit, infrastructure ou IA dans l'offre",https://job-boards.greenhouse.io/wppmedia/jobs/5232037008
Full-Stack Web Developer (SY-EPC-CCS-2026-155-GRAE),CERN,"Geneva, Geneva, Switzerland",CH,Entry Level,Hybrid,2704,58,possible,2,6,"Le profil hybride code/design et l'expertise AI/3D du candidat sont techniquement transposables à la stack Vue/Python, mais le contexte institutionnel (CERN) et les contraintes d'éligibilité (nationalité, max 2 ans d'expérience post-diplôme) créent des frictions majeures par rapport au profil founding engineer seniorisé.",Stack front-end transposable (React vers Vue3 est un saut mineur pour un ingénieur TS/JS) · Compétences DevOps et Docker pertinentes pour l'environnement technique · Expérience en conception UI/UX et base de données alignée avec les exigences du poste,Contrainte d'éligibilité stricte (nationalité État membre CERN) souvent bloquante · Limite d'expérience post-diplôme (2 ans) incompatible avec l'expérience fondatrice de 3 ans du candidat · Contexte institutionnel/gouvernemental opposé au profil 'founding/0-to-1' et startup-oriented,https://jobs.smartrecruiters.com/CERN/744000130506379-full-stack-web-developer-sy-epc-ccs-2026-155-grae-
Full stack developer (on site),Crisp,"Amsterdam, North Holland, Netherlands",NL,Mid Level,Onsite,750,58,possible,2,29,"Le profil hybride du candidat correspond bien à l'intersection code/design et au stack TypeScript/React, mais le stade de l'entreprise (Série C, 750 employés) et la forte orientation mobile/backend PHP/Go ne correspondent pas à sa cible idéale de startup early-stage avec ownership total.","Stack technique compatible (TypeScript, React, Node.js) · Culture produit orientée utilisateur et collaboration avec les designers · Expérience en e-commerce et logistique pertinente pour le secteur","Entreprise trop mature (Série C, grande taille) pour son profil de founding engineer · Stack divergente sur le backend (PHP/Go) et forte exigence mobile (React Native) · Manque d'ownership 0-to-1 typique des startups seed/pré-A",https://jobs.ashbyhq.com/crisp/9c505735-40dd-4468-a254-529f2929e722
Junior Designer,Polaroid,"Amsterdam, Noord-Holland, Netherlands",NL,Entry Level,Hybrid,700,58,possible,2,2,"Le poste est un Junior Designer pur (brand/campaign) chez une grande entreprise, ce qui ne valorise pas le croisement rare Engineering x Design ni l'ownership technique du candidat.",Stack design compatible (Figma/Adobe) · Expérience en agence créative (DDB) pertinente pour le brand · Lieu Amsterdam valide,Absence totale de code/ingénierie dans le poste · Structure corporate (700 employés) vs profil startup/founding · Séniorité entry-level sous-estime l'expérience fondatrice du candidat · Pas d'ownership produit ou technique,https://polaroid.recruitee.com/o/junior-designer
